#   Data according to Phys. Rev. D 73 (2006) 085009 [hep-ph/0603048], for the Standard Model, with mH = 150 GeV, and from a calculation preserving s at T<1.5 MeV.
#                 T(MeV)                     g_*                   g_*,s
  5.9715432195992727E-04  3.3626438511866814E+00  3.9090908515355296E+00
  6.7001819167718994E-04  3.3626438511866814E+00  3.9090908515355296E+00
  7.5177280088160740E-04  3.3626438511866814E+00  3.9090908515355296E+00
  8.4350298419608909E-04  3.3626438511866814E+00  3.9090908515355296E+00
  9.4642594612804763E-04  3.3626438511866814E+00  3.9090908515355296E+00
  1.0619074126430614E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.1914797535291946E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.3368623160248797E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.4999842395254041E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.6830100541054762E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.8883684025349024E-03  3.3626438511866814E+00  3.9090908515355296E+00
  2.1187842669113006E-03  3.3626438511866814E+00  3.9090908515355296E+00
  2.3773151275379291E-03  3.3626438511866814E+00  3.9090908515355296E+00
  2.6673915338532557E-03  3.3626438511866814E+00  3.9090908515355296E+00
  2.9928626257641599E-03  3.3626438511866814E+00  3.9090908515355296E+00
  3.3580472094235547E-03  3.3626438511866814E+00  3.9090908515355296E+00
  3.7677910651973644E-03  3.3626438511866814E+00  3.9090908515355296E+00
  4.2275312482631926E-03  3.3626438511866814E+00  3.9090908515355296E+00
  4.7433682350710629E-03  3.3626438511866814E+00  3.9090908515355296E+00
  5.3221468730064898E-03  3.3626438511866814E+00  3.9090908515355296E+00
  5.9715472074093360E-03  3.3626438511866814E+00  3.9090908515355296E+00
  6.7001863911685319E-03  3.3626438511866814E+00  3.9090908515355296E+00
  7.5177330291718346E-03  3.3626438511866814E+00  3.9090908515355296E+00
  8.4350354748928876E-03  3.3626438511866814E+00  3.9090908515355296E+00
  9.4642657815343402E-03  3.3626438511866814E+00  3.9090908515355296E+00
  1.0619081217872322E-02  3.3626438511866814E+00  3.9090908515355296E+00
  1.1914805492020676E-02  3.3626438511866845E+00  3.9090908515355327E+00
  1.3368632087845566E-02  3.3626438511870056E+00  3.9090908515358165E+00
  1.4999852412182704E-02  3.3626438512024146E+00  3.9090908515494736E+00
  1.6830111780233956E-02  3.3626438516725949E+00  3.9090908519669831E+00
  1.8883696635915909E-02  3.3626438612332228E+00  3.9090908604743451E+00
  2.1187856818402240E-02  3.3626439964983934E+00  3.9090909811171519E+00
  2.3773167151143460E-02  3.3626453803675220E+00  3.9090922185638992E+00
  2.6673933151433529E-02  3.3626559768022473E+00  3.9091017208278065E+00
  2.9928646244045877E-02  3.3627186017362614E+00  3.9091580561988430E+00
  3.3580494519350738E-02  3.3630122481853419E+00  3.9094231296484425E+00
  3.7677935813367563E-02  3.3641319872637991E+00  3.9104377738250919E+00
  4.2275340714181174E-02  3.3676821359634674E+00  3.9136680794275120E+00
  4.7433714027030949E-02  3.3772290782264833E+00  3.9223933993097866E+00
  5.3221504271482048E-02  3.3993991079044243E+00  3.9427479277782922E+00
  5.9715511952220628E-02  3.4445844725889998E+00  3.9844170953115823E+00
  6.7001908655681536E-02  3.5266068479210881E+00  4.0603536792724020E+00
  7.5177380495309504E-02  3.6609815586179142E+00  4.1851272401643813E+00
  8.4350411078286516E-02  3.8620244749680963E+00  4.3721039062401079E+00
  9.4642721017924286E-02  4.1395913117690961E+00  4.6302497178688160E+00
  1.0619088309318769E-01  4.4964313510306653E+00  4.9616029511266015E+00
  1.1914813448754726E-01  4.9269320223952509E+00  5.3602354816186075E+00
  1.3368641015448302E-01  5.4175821188163518E+00  5.8129702978044113E+00
  1.4999862429118060E-01  5.9489768985480520E+00  6.3015341468377661E+00
  1.6830123019420654E-01  6.4987824212061547E+00  6.8054464914119546E+00
  1.8883709246491220E-01  7.0448859248884617E+00  7.3048724407449868E+00
  2.1187870967700934E-01  7.5680276569703029E+00  7.7828462713432840E+00
  2.3773183026918238E-01  8.0534773282044725E+00  8.2265742648549747E+00
  2.6673950964346399E-01  8.4916534435997360E+00  8.6278190235705665E+00
  2.9928666230463513E-01  8.8778611711617152E+00  8.9825704674646367E+00
  3.3580516944480904E-01  9.2114538132537938E+00  9.2902788781111401E+00
  3.7677960974778291E-01  9.4947562560306817E+00  9.5529268272435583E+00
  4.2275368945749286E-01  9.7319943457262337E+00  9.7741276642863681E+00
