#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      1.0000e+01      4.8778e-03     -5.9759e+00     -5.9854e+00         5.9902e+00            9.5167e-03            1.5717e-73      5.9854e+00     -3.1852e+00
      1.5000e+01      9.4852e-02     -5.5394e+00     -5.7155e+00         5.8103e+00            1.7605e-01            4.1135e-48      5.7155e+00     -2.9780e+00
      2.0000e+01      3.2914e-01     -4.4388e+00     -5.0127e+00         5.3418e+00            5.7388e-01            1.6454e-35      5.0127e+00     -2.5846e+00
      2.5000e+01      5.8129e-01     -3.3132e+00     -4.2562e+00         4.8375e+00            9.4303e-01            5.2200e-28      4.2562e+00     -2.1797e+00
      3.0000e+01      7.7671e-01     -2.5038e+00     -3.6699e+00         4.4467e+00            1.1661e+00            4.8654e-23      3.6699e+00     -1.8687e+00
      3.5000e+01      9.1793e-01     -1.9710e+00     -3.2463e+00         4.1642e+00            1.2753e+00            1.6469e-19      3.2463e+00     -1.6425e+00
      4.0000e+01      1.0214e+00     -1.6178e+00     -2.9359e+00         3.9573e+00            1.3180e+00            7.0592e-17      2.9359e+00     -1.4736e+00
      4.5000e+01      1.0996e+00     -1.3758e+00     -2.7011e+00         3.8008e+00            1.3253e+00            7.6566e-15      2.7011e+00     -1.3417e+00
      5.0000e+01      1.1607e+00     -1.2036e+00     -2.5180e+00         3.6787e+00            1.3143e+00            3.1826e-13      2.5180e+00     -1.2341e+00
      5.5000e+01      1.2096e+00     -1.0768e+00     -2.3712e+00         3.5808e+00            1.2945e+00            6.6021e-12      2.3712e+00     -1.4907e+00
      6.0000e+01      1.2501e+00     -9.7978e-01     -2.2498e+00         3.4999e+00            1.2700e+00            8.1443e-11      2.2498e+00     -1.0634e+00
      6.5000e+01      1.2841e+00     -9.0381e-01     -2.1478e+00         3.4319e+00            1.2440e+00            6.7477e-10      2.1478e+00     -1.0297e+00
      7.0000e+01      1.3135e+00     -8.4247e-01     -2.0597e+00         3.3731e+00            1.2172e+00            4.0920e-09      2.0597e+00     -9.2797e-01
      7.5000e+01      1.3393e+00     -7.9180e-01     -1.9822e+00         3.3215e+00            1.1904e+00            1.9348e-08      1.9822e+00     -8.8096e-01
      8.0000e+01      1.3625e+00     -7.4889e-01     -1.9125e+00         3.2750e+00            1.1636e+00            7.4755e-08      1.9125e+00     -8.1425e-01
      8.5000e+01      1.3838e+00     -7.1176e-01     -1.8487e+00         3.2324e+00            1.1369e+00            2.4463e-07      1.8487e+00     -7.6807e-01
      9.0000e+01      1.4037e+00     -6.7890e-01     -1.7890e+00         3.1926e+00            1.1101e+00            6.9827e-07      1.7890e+00     -7.1615e-01
      9.5000e+01      1.4226e+00     -6.4924e-01     -1.7322e+00         3.1548e+00            1.0829e+00            1.7713e-06      1.7322e+00     -6.7371e-01
      1.0000e+02      1.4410e+00     -6.2188e-01     -1.6771e+00         3.1181e+00            1.0553e+00            4.0662e-06      1.6771e+00     -6.3040e-01
      1.0500e+02      1.4590e+00     -5.9621e-01     -1.6230e+00         3.0820e+00            1.0268e+00            8.5670e-06      1.6230e+00     -5.9217e-01
      1.1000e+02      1.4770e+00     -5.7168e-01     -1.5691e+00         3.0460e+00            9.9739e-01            1.6752e-05      1.5691e+00     -5.5476e-01
      1.1500e+02      1.4951e+00     -5.4792e-01     -1.5147e+00         3.0099e+00            9.6685e-01            3.0691e-05      1.5148e+00     -5.2463e-01
      1.2000e+02      1.5135e+00     -5.2457e-01     -1.4595e+00         2.9730e+00            9.3495e-01            5.3076e-05      1.4595e+00     -4.8740e-01
      1.2500e+02      1.5322e+00     -5.0152e-01     -1.4032e+00         2.9356e+00            9.0181e-01            8.7223e-05      1.4033e+00     -4.6011e-01
      1.3000e+02      1.5516e+00     -4.7834e-01     -1.3451e+00         2.8968e+00            8.6692e-01            1.3687e-04      1.3453e+00     -4.0789e-01
      1.3500e+02      1.5722e+00     -4.5431e-01     -1.2833e+00         2.8557e+00            8.2918e-01            2.0572e-04      1.2835e+00     -3.3459e-01
      1.4000e+02      1.5921e+00     -4.3137e-01     -1.2234e+00         2.8158e+00            7.9231e-01            2.9861e-04      1.2237e+00     -2.8055e-01
      1.4500e+02      1.6107e+00     -4.1017e-01     -1.1674e+00         2.7785e+00            7.5765e-01            4.2083e-04      1.1678e+00     -2.4330e-01
      1.5000e+02      1.6273e+00     -3.9138e-01     -1.1175e+00         2.7454e+00            7.2668e-01            5.7885e-04      1.1181e+00     -2.1169e-01
      1.5500e+02      1.6411e+00     -3.7580e-01     -1.0760e+00         2.7179e+00            7.0100e-01            7.8137e-04      1.0768e+00     -1.8203e-01
      1.6000e+02      1.6529e+00     -3.6246e-01     -1.0404e+00         2.6943e+00            6.7898e-01            1.0357e-03      1.0414e+00     -1.5751e-01
      1.6500e+02      1.6630e+00     -3.5095e-01     -1.0096e+00         2.6739e+00            6.5996e-01            1.3502e-03      1.0109e+00     -1.3792e-01
      1.7000e+02      1.6718e+00     -3.4099e-01     -9.8274e-01         2.6563e+00            6.4349e-01            1.7334e-03      9.8448e-01     -1.2156e-01
      1.7500e+02      1.6795e+00     -3.3232e-01     -9.5931e-01         2.6410e+00            6.2918e-01            2.1944e-03      9.6150e-01     -1.0758e-01
      1.8000e+02      1.6862e+00     -3.2477e-01     -9.3875e-01         2.6277e+00            6.1672e-01            2.7424e-03      9.4149e-01     -9.5857e-02
      1.8500e+02      1.6920e+00     -3.1817e-01     -9.2063e-01         2.6160e+00            6.0584e-01            3.3865e-03      9.2401e-01     -8.5979e-02
      1.9000e+02      1.6971e+00     -3.1240e-01     -9.0461e-01         2.6058e+00            5.9635e-01            4.1361e-03      9.0875e-01     -7.7575e-02
      1.9500e+02      1.7015e+00     -3.0734e-01     -8.9042e-01         2.5969e+00            5.8808e-01            5.0004e-03      8.9542e-01     -7.0761e-02
      2.0000e+02      1.7054e+00     -3.0291e-01     -8.7778e-01         2.5892e+00            5.8085e-01            5.9881e-03      8.8376e-01     -6.4771e-02
      2.0500e+02      1.7088e+00     -2.9902e-01     -8.6644e-01         2.5824e+00            5.7454e-01            7.1075e-03      8.7355e-01     -5.9200e-02
      2.1000e+02      1.7118e+00     -2.9559e-01     -8.5624e-01         2.5764e+00            5.6902e-01            8.3664e-03      8.6461e-01     -5.3971e-02
      2.1500e+02      1.7144e+00     -2.9256e-01     -8.4696e-01         2.5712e+00            5.6417e-01            9.7716e-03      8.5674e-01     -4.8946e-02
      2.2000e+02      1.7167e+00     -2.8993e-01     -8.3860e-01         2.5666e+00            5.6000e-01            1.1331e-02      8.4993e-01     -4.4221e-02
      2.2500e+02      1.7186e+00     -2.8770e-01     -8.3118e-01         2.5628e+00            5.5654e-01            1.3054e-02      8.4423e-01     -3.9874e-02
      2.3000e+02      1.7202e+00     -2.8578e-01     -8.2445e-01         2.5596e+00            5.5361e-01            1.4944e-02      8.3939e-01     -3.5723e-02
      2.3500e+02      1.7216e+00     -2.8411e-01     -8.1823e-01         2.5568e+00            5.5112e-01            1.7004e-02      8.3523e-01     -3.1816e-02
      2.4000e+02      1.7228e+00     -2.8266e-01     -8.1242e-01         2.5544e+00            5.4900e-01            1.9237e-02      8.3166e-01     -2.7684e-02
      2.4500e+02      1.7238e+00     -2.8138e-01     -8.0689e-01         2.5524e+00            5.4715e-01            2.1644e-02      8.2853e-01     -2.2352e-02
      2.5000e+02      1.7247e+00     -2.8027e-01     -8.0163e-01         2.5506e+00            5.4559e-01            2.4228e-02      8.2586e-01     -1.7543e-02
      2.5500e+02      1.7255e+00     -2.7930e-01     -7.9660e-01         2.5491e+00            5.4428e-01            2.6988e-02      8.2358e-01     -1.4739e-02
      2.6000e+02      1.7261e+00     -2.7845e-01     -7.9169e-01         2.5477e+00            5.4316e-01            2.9922e-02      8.2161e-01     -1.3422e-02
      2.6500e+02      1.7267e+00     -2.7770e-01     -7.8687e-01         2.5466e+00            5.4219e-01            3.3027e-02      8.1989e-01     -1.3876e-02
      2.7000e+02      1.7272e+00     -2.7698e-01     -7.8196e-01         2.5455e+00            5.4127e-01            3.6295e-02      8.1825e-01     -1.5232e-02
      2.7500e+02      1.7278e+00     -2.7625e-01     -7.7683e-01         2.5444e+00            5.4029e-01            3.9712e-02      8.1654e-01     -1.6708e-02
      2.8000e+02      1.7285e+00     -2.7547e-01     -7.7138e-01         2.5431e+00            5.3918e-01            4.3268e-02      8.1465e-01     -1.8465e-02
      2.8500e+02      1.7292e+00     -2.7458e-01     -7.6548e-01         2.5416e+00            5.3784e-01            4.6942e-02      8.1242e-01     -2.0401e-02
      2.9000e+02      1.7300e+00     -2.7360e-01     -7.5919e-01         2.5399e+00            5.3631e-01            5.0726e-02      8.0991e-01     -2.2520e-02
      2.9500e+02      1.7309e+00     -2.7255e-01     -7.5256e-01         2.5381e+00            5.3462e-01            5.4611e-02      8.0717e-01     -2.4800e-02
      3.0000e+02      1.7320e+00     -2.7141e-01     -7.4554e-01         2.5361e+00            5.3271e-01            5.8579e-02      8.0412e-01     -2.7223e-02
      3.0500e+02      1.7331e+00     -2.7012e-01     -7.3801e-01         2.5337e+00            5.3050e-01            6.2606e-02      8.0062e-01     -2.9767e-02
      3.1000e+02      1.7344e+00     -2.6877e-01     -7.3024e-01         2.5313e+00            5.2816e-01            6.6695e-02      7.9693e-01     -3.2425e-02
      3.1500e+02      1.7356e+00     -2.6745e-01     -7.2244e-01         2.5289e+00            5.2585e-01            7.0855e-02      7.9329e-01     -3.5192e-02
      3.2000e+02      1.7368e+00     -2.6611e-01     -7.1455e-01         2.5264e+00            5.2350e-01            7.5070e-02      7.8962e-01     -3.8051e-02
      3.2500e+02      1.7380e+00     -2.6477e-01     -7.0657e-01         2.5239e+00            5.2113e-01            7.9328e-02      7.8590e-01     -4.0991e-02
      3.3000e+02      1.7393e+00     -2.6343e-01     -6.9853e-01         2.5214e+00            5.1873e-01            8.3621e-02      7.8215e-01     -4.3996e-02
      3.3500e+02      1.7405e+00     -2.6208e-01     -6.9044e-01         2.5189e+00            5.1631e-01            8.7938e-02      7.7838e-01     -4.7040e-02
      3.4000e+02      1.7418e+00     -2.6073e-01     -6.8232e-01         2.5164e+00            5.1387e-01            9.2272e-02      7.7460e-01     -5.0132e-02
      3.4500e+02      1.7431e+00     -2.5938e-01     -6.7418e-01         2.5139e+00            5.1142e-01            9.6614e-02      7.7080e-01     -5.3231e-02
      3.5000e+02      1.7443e+00     -2.5803e-01     -6.6605e-01         2.5113e+00            5.0898e-01            1.0096e-01      7.6701e-01     -5.6476e-02
      3.5500e+02      1.7456e+00     -2.5670e-01     -6.5794e-01         2.5088e+00            5.0654e-01            1.0529e-01      7.6323e-01     -6.0103e-02
      3.6000e+02      1.7468e+00     -2.5537e-01     -6.4986e-01         2.5063e+00            5.0411e-01            1.0962e-01      7.5948e-01     -6.3744e-02
      3.6500e+02      1.7481e+00     -2.5405e-01     -6.4180e-01         2.5038e+00            5.0167e-01            1.1392e-01      7.5572e-01     -6.7037e-02
      3.7000e+02      1.7493e+00     -2.5273e-01     -6.3378e-01         2.5013e+00            4.9924e-01            1.1819e-01      7.5197e-01     -7.0234e-02
