#        T (MeV)   d\mu_e/dL_\mu  d\mu_\mu/dL_\mu  d\mu_\tau/dL_\mu  d\mu_{\nu_e}/dL_\mu  d\mu_{\nu_\mu}/dL_\mu  d\mu_{\nu_\tau}/dL_\mu   d\mu_Q/dL_\mu   d\mu_B/dL_\mu in units of T^-2
      1.0000e+01     -4.7602e-03       5.9762e+00       -1.4277e-02           9.5167e-03             5.9905e+00              3.7489e-76      1.4277e-02     -7.5977e-03
      1.5000e+01     -8.8043e-02       5.5592e+00       -2.6410e-01           1.7605e-01             5.8233e+00              1.9007e-49      2.6410e-01     -1.3760e-01
      2.0000e+01     -2.8697e-01       4.5508e+00       -8.6085e-01           5.7388e-01             5.4116e+00              2.8257e-36      8.6085e-01     -4.4386e-01
      2.5000e+01     -4.7155e-01       3.5694e+00       -1.4146e+00           9.4303e-01             4.9840e+00              1.7349e-28      1.4146e+00     -7.2443e-01
      3.0000e+01     -5.8309e-01       2.9001e+00       -1.7492e+00           1.1661e+00             4.6493e+00              2.3190e-23      1.7492e+00     -8.9066e-01
      3.5000e+01     -6.3767e-01       2.4814e+00       -1.9130e+00           1.2753e+00             4.3944e+00              9.7048e-20      1.9130e+00     -9.6791e-01
      4.0000e+01     -6.5903e-01       2.2169e+00       -1.9771e+00           1.3180e+00             4.1939e+00              4.7538e-17      1.9771e+00     -9.9237e-01
      4.5000e+01     -6.6266e-01       2.0436e+00       -1.9879e+00           1.3253e+00             4.0315e+00              5.6350e-15      1.9879e+00     -9.8744e-01
      5.0000e+01     -6.5717e-01       1.9257e+00       -1.9715e+00           1.3143e+00             3.8972e+00              2.4919e-13      1.9715e+00     -9.6623e-01
      5.5000e+01     -6.4725e-01       1.8428e+00       -1.9417e+00           1.2945e+00             3.7845e+00              5.4063e-12      1.9417e+00     -1.2207e+00
      6.0000e+01     -6.3502e-01       1.7833e+00       -1.9050e+00           1.2700e+00             3.6884e+00              6.8963e-11      1.9050e+00     -9.0041e-01
      6.5000e+01     -6.2199e-01       1.7396e+00       -1.8660e+00           1.2440e+00             3.6056e+00              5.8623e-10      1.8660e+00     -8.9459e-01
      7.0000e+01     -6.0860e-01       1.7074e+00       -1.8258e+00           1.2172e+00             3.5332e+00              3.6274e-09      1.8258e+00     -8.2260e-01
      7.5000e+01     -5.9519e-01       1.6835e+00       -1.7856e+00           1.1904e+00             3.4691e+00              1.7429e-08      1.7856e+00     -7.9358e-01
      8.0000e+01     -5.8180e-01       1.6660e+00       -1.7454e+00           1.1636e+00             3.4114e+00              6.8224e-08      1.7454e+00     -7.4311e-01
      8.5000e+01     -5.6845e-01       1.6535e+00       -1.7054e+00           1.1369e+00             3.3589e+00              2.2566e-07      1.7054e+00     -7.0853e-01
      9.0000e+01     -5.5503e-01       1.6451e+00       -1.6651e+00           1.1101e+00             3.3102e+00              6.4992e-07      1.6651e+00     -6.6656e-01
      9.5000e+01     -5.4147e-01       1.6400e+00       -1.6244e+00           1.0829e+00             3.2644e+00              1.6611e-06      1.6244e+00     -6.3179e-01
      1.0000e+02     -5.2763e-01       1.6379e+00       -1.5829e+00           1.0553e+00             3.2207e+00              3.8377e-06      1.5829e+00     -5.9497e-01
      1.0500e+02     -5.1342e-01       1.6383e+00       -1.5402e+00           1.0268e+00             3.1785e+00              8.1299e-06      1.5402e+00     -5.6196e-01
      1.1000e+02     -4.9870e-01       1.6410e+00       -1.4961e+00           9.9739e-01             3.1370e+00              1.5973e-05      1.4961e+00     -5.2896e-01
      1.1500e+02     -4.8343e-01       1.6457e+00       -1.4503e+00           9.6685e-01             3.0960e+00              2.9384e-05      1.4503e+00     -5.0229e-01
      1.2000e+02     -4.6747e-01       1.6524e+00       -1.4024e+00           9.3495e-01             3.0549e+00              5.1000e-05      1.4024e+00     -4.6833e-01
      1.2500e+02     -4.5091e-01       1.6608e+00       -1.3526e+00           9.0181e-01             3.0136e+00              8.4077e-05      1.3527e+00     -4.4352e-01
      1.3000e+02     -4.3346e-01       1.6711e+00       -1.3003e+00           8.6692e-01             2.9714e+00              1.3230e-04      1.3004e+00     -3.9428e-01
      1.3500e+02     -4.1459e-01       1.6835e+00       -1.2436e+00           8.2918e-01             2.9273e+00              1.9935e-04      1.2438e+00     -3.2424e-01
      1.4000e+02     -3.9615e-01       1.6962e+00       -1.1882e+00           7.9231e-01             2.8846e+00              2.9002e-04      1.1885e+00     -2.7247e-01
      1.4500e+02     -3.7883e-01       1.7082e+00       -1.1361e+00           7.5765e-01             2.8447e+00              4.0954e-04      1.1365e+00     -2.3677e-01
      1.5000e+02     -3.6334e-01       1.7188e+00       -1.0895e+00           7.2668e-01             2.8088e+00              5.6433e-04      1.0900e+00     -2.0638e-01
      1.5500e+02     -3.5050e-01       1.7270e+00       -1.0507e+00           7.0100e-01             2.7785e+00              7.6301e-04      1.0515e+00     -1.7775e-01
      1.6000e+02     -3.3949e-01       1.7338e+00       -1.0175e+00           6.7898e-01             2.7522e+00              1.0129e-03      1.0185e+00     -1.5404e-01
      1.6500e+02     -3.2998e-01       1.7393e+00       -9.8863e-01           6.5996e-01             2.7292e+00              1.3222e-03      9.8995e-01     -1.3506e-01
      1.7000e+02     -3.2175e-01       1.7438e+00       -9.6354e-01           6.4349e-01             2.7091e+00              1.6995e-03      9.6524e-01     -1.1919e-01
      1.7500e+02     -3.1459e-01       1.7476e+00       -9.4162e-01           6.2918e-01             2.6914e+00              2.1539e-03      9.4377e-01     -1.0560e-01
      1.8000e+02     -3.0836e-01       1.7506e+00       -9.2238e-01           6.1672e-01             2.6757e+00              2.6945e-03      9.2508e-01     -9.4186e-02
      1.8500e+02     -3.0292e-01       1.7531e+00       -9.0543e-01           6.0584e-01             2.6619e+00              3.3306e-03      9.0876e-01     -8.4559e-02
      1.9000e+02     -2.9818e-01       1.7551e+00       -8.9045e-01           5.9635e-01             2.6496e+00              4.0714e-03      8.9453e-01     -7.6360e-02
      1.9500e+02     -2.9404e-01       1.7567e+00       -8.7719e-01           5.8808e-01             2.6388e+00              4.9261e-03      8.8212e-01     -6.9709e-02
      2.0000e+02     -2.9043e-01       1.7579e+00       -8.6537e-01           5.8085e-01             2.6292e+00              5.9035e-03      8.7128e-01     -6.3856e-02
      2.0500e+02     -2.8727e-01       1.7588e+00       -8.5479e-01           5.7454e-01             2.6206e+00              7.0119e-03      8.6180e-01     -5.8403e-02
      2.1000e+02     -2.8451e-01       1.7595e+00       -8.4527e-01           5.6902e-01             2.6130e+00              8.2592e-03      8.5353e-01     -5.3280e-02
      2.1500e+02     -2.8209e-01       1.7599e+00       -8.3661e-01           5.6417e-01             2.6062e+00              9.6521e-03      8.4626e-01     -4.8347e-02
      2.2000e+02     -2.8000e-01       1.7602e+00       -8.2881e-01           5.6000e-01             2.6002e+00              1.1199e-02      8.4001e-01     -4.3704e-02
      2.2500e+02     -2.7827e-01       1.7602e+00       -8.2190e-01           5.5654e-01             2.5950e+00              1.2908e-02      8.3481e-01     -3.9429e-02
      2.3000e+02     -2.7681e-01       1.7600e+00       -8.1564e-01           5.5361e-01             2.5904e+00              1.4784e-02      8.3042e-01     -3.5342e-02
      2.3500e+02     -2.7556e-01       1.7597e+00       -8.0985e-01           5.5112e-01             2.5864e+00              1.6830e-02      8.2668e-01     -3.1491e-02
      2.4000e+02     -2.7450e-01       1.7594e+00       -8.0444e-01           5.4900e-01             2.5829e+00              1.9048e-02      8.2349e-01     -2.7413e-02
      2.4500e+02     -2.7358e-01       1.7589e+00       -7.9929e-01           5.4715e-01             2.5797e+00              2.1440e-02      8.2073e-01     -2.2141e-02
      2.5000e+02     -2.7279e-01       1.7585e+00       -7.9438e-01           5.4559e-01             2.5768e+00              2.4008e-02      8.1838e-01     -1.7384e-02
      2.5500e+02     -2.7214e-01       1.7579e+00       -7.8967e-01           5.4428e-01             2.5743e+00              2.6753e-02      8.1642e-01     -1.4610e-02
      2.6000e+02     -2.7158e-01       1.7573e+00       -7.8507e-01           5.4316e-01             2.5721e+00              2.9671e-02      8.1474e-01     -1.3310e-02
      2.6500e+02     -2.7110e-01       1.7567e+00       -7.8053e-01           5.4219e-01             2.5700e+00              3.2761e-02      8.1329e-01     -1.3764e-02
      2.7000e+02     -2.7064e-01       1.7562e+00       -7.7589e-01           5.4127e-01             2.5681e+00              3.6013e-02      8.1191e-01     -1.5114e-02
