!                T (MeV)                 t (sec)               ln(a/a_i)               L/n_gamma          \Omega_wdm h^2
  1.0000000000000000E+04  2.6335409739583909E-09  0.0000000000000000E+00  1.9904621553283132E-02  0.0000000000000000E+00
  9.3260334688321982E+03  3.0295747626984208E-09  7.0050858448775871E-02  1.9888174041806681E-02  5.8249225355359899E-16
  8.6974900261778330E+03  3.4848687536969681E-09  1.4006725873452852E-01  1.9873794458375064E-02  1.6578462820102404E-15
  8.1113083078968712E+03  4.0083644684052341E-09  2.1006316439115760E-01  1.9860646343894239E-02  3.6401440793049055E-15
  7.5646332755462890E+03  4.6103607489821853E-09  2.8005067548714685E-01  1.9848006767572545E-02  7.2872214006812286E-15
  7.0548023107186436E+03  5.3027174286746738E-09  3.5003994314480030E-01  1.9835270709327658E-02  1.3981164684005218E-14
  6.5793322465756801E+03  6.0990906594258882E-09  4.2003930301637632E-01  1.9821942672598174E-02  2.6232248769832323E-14
  6.1359072734131732E+03  7.0152057410566023E-09  4.9005559317633529E-01  1.9807617520055248E-02  4.8577521445732000E-14
  5.7223676593502178E+03  8.0691739975923405E-09  5.6009458127831391E-01  1.9791954964185354E-02  8.9168764143357971E-14
  5.3366992312063103E+03  9.2818601144668133E-09  6.3016136984695459E-01  1.9774655490499914E-02  1.6255007000305573E-13
  4.9770235643321112E+03  1.0677309283655232E-08  7.0026081023436770E-01  1.9755435890206206E-02  2.9444971997934923E-13
  4.6415888336127791E+03  1.2283243816897535E-08  7.7039786657464637E-01  1.9734007904655394E-02  5.2991937971865551E-13
  4.3287612810830587E+03  1.4131635781110418E-08  8.4057773683969250E-01  1.9710071401277125E-02  9.4686418882605055E-13
  4.0370172585965552E+03  1.6259379758625980E-08  9.1080621190032229E-01  1.9683293616960668E-02  1.6780012737595904E-12
  3.7649358067924686E+03  1.8709067439622193E-08  9.8108967888114029E-01  1.9653309623607597E-02  2.9453158014529244E-12
  3.5111917342151319E+03  2.1529895356821689E-08  1.0514352967702447E+00  1.9619712815930449E-02  5.1118448312215777E-12
  3.2745491628777290E+03  2.4778720834491728E-08  1.1218510668520356E+00  1.9582051835596304E-02  8.7553521239955607E-12
  3.0538555088334160E+03  2.8521296647207045E-08  1.1923459275098736E+00  1.9539826348930159E-02  1.4764898784731561E-11
  2.8480358684358021E+03  3.2833713104541580E-08  1.2629298047623470E+00  1.9492485755057611E-02  2.4453073002648280E-11
  2.6560877829466867E+03  3.7804088901902908E-08  1.3336136934171032E+00  1.9439426488799875E-02  3.9661020785255412E-11
  2.4770763559917114E+03  4.3534559460200075E-08  1.4044097828190769E+00  1.9379987206576046E-02  6.2809696751884125E-11
  2.3101297000831601E+03  5.0143588663053603E-08  1.4753312921862907E+00  1.9313461421507576E-02  9.6827420978020733E-11
  2.1544346900318842E+03  5.7768725295489192E-08  1.5463927438081480E+00  1.9239085221081309E-02  1.4487548562643444E-10
  2.0092330025650476E+03  6.6569805878223441E-08  1.6176097613225378E+00  1.9156053271392064E-02  2.0982179362201563E-10
  1.8738174228603846E+03  7.6732749065710678E-08  1.6889990894320897E+00  1.9063522582172813E-02  2.9349738450005308E-10
  1.7475284000076842E+03  8.8474013515304189E-08  1.7605784717176893E+00  1.8960625129160930E-02  3.9591302250204143E-10
  1.6297508346206446E+03  1.0204585140944424E-07  1.8323665059982879E+00  1.8846482314844058E-02  5.1476176648414947E-10
  1.5199110829529341E+03  1.1774248731406313E-07  1.9043824080733636E+00  1.8720225055042273E-02  6.4560200484678895E-10
  1.4174741629268055E+03  1.3590738919939114E-07  1.9766457271814524E+00  1.8581016724102849E-02  7.8298291754289411E-10
  1.3219411484660293E+03  1.5694182076606092E-07  2.0491760160276900E+00  1.8428078451754822E-02  9.2242707578355840E-10
  1.2328467394420663E+03  1.8131485397144785E-07  2.1219923482267697E+00  1.8260722197275304E-02  1.0627333879880012E-09
  1.1497569953977361E+03  2.0957514357861854E-07  2.1951129121520583E+00  1.8078378223110779E-02  1.2079382432677618E-09
  1.0722672220103236E+03  2.4236468134905322E-07  2.2685544746668591E+00  1.7880627797628341E-02  1.3683943727881670E-09
  1.0000000000000003E+03  2.8043475673441057E-07  2.3423316407419108E+00  1.7667243938777135E-02  1.5610637143674315E-09
  9.3260334688322018E+02  3.2466495294336459E-07  2.4164568498049266E+00  1.7438189332986728E-02  1.8096784044522438E-09
  8.6974900261778362E+02  3.7608468303449437E-07  2.4909393051332285E+00  1.7193667405795070E-02  2.1459139867627012E-09
  8.1113083078968737E+02  4.3589855946351744E-07  2.5657846887352003E+00  1.6934126554827900E-02  2.6123777678981364E-09
